dataset,column,dtype,n_rows,n_missing,missing_frac,mean,std
academic_individual_user_skill,skill_k25,string,7152322703,0,0.0,,
academic_individual_user_skill,skill_k50,string,7152322703,0,0.0,,
academic_individual_user_skill,skill_k75,string,7152322703,0,0.0,,
revelio_patents_assignee_matches,patent_id,string,6602862,0,0.0,,
revelio_patents_assignee_matches,patent_date,string,6602862,0,0.0,,
revelio_patents_assignee_matches,patent_title,string,6602862,0,0.0,,
revelio_patents_assignee_matches,application_id,string,6602862,1510,0.00022868871104681575,,
revelio_patents_assignee_matches,filing_date,string,6602862,1510,0.00022868871104681575,,
revelio_patents_assignee_matches,assignee_sequence,string,6602862,0,0.0,,
revelio_patents_assignee_matches,assignee_type,string,6602862,0,0.0,,
revelio_patents_assignee_matches,raw_assignee_individual_name_first,string,6602862,6602839,0.9999965166620172,,
revelio_patents_assignee_matches,raw_assignee_individual_name_last,string,6602862,6602839,0.9999965166620172,,
revelio_patents_assignee_matches,raw_assignee_organization,string,6602862,0,0.0,,
revelio_patents_assignee_matches,pv_assignee_id,string,6602862,0,0.0,,
revelio_patents_assignee_matches,pv_disambig_assignee_individual_name_first,string,6602862,6532044,0.9892746509013819,,
revelio_patents_assignee_matches,pv_disambig_assignee_individual_name_last,string,6602862,6532044,0.9892746509013819,,
revelio_patents_assignee_matches,pv_disambig_assignee_organization,string,6602862,0,0.0,,
revelio_patents_assignee_matches,rcid,"decimal128(38, 5)[pyarrow]",6602862,0,0.0,6640310.619079575,14291958.898581892
revelio_patents_assignee_matches,company_name,string,6602862,0,0.0,,
revelio_patents_inventor_matches,patent_id,string,7149690,0,0.0,,
revelio_patents_inventor_matches,patent_date,date32[day][pyarrow],7149690,0,0.0,,
revelio_patents_inventor_matches,patent_title,string,7149690,0,0.0,,
revelio_patents_inventor_matches,application_id,string,7149690,625,8.741637749328991e-05,,
revelio_patents_inventor_matches,filing_date,date32[day][pyarrow],7149690,625,8.741637749328991e-05,,
revelio_patents_inventor_matches,inventor_sequence,string,7149690,0,0.0,,
revelio_patents_inventor_matches,raw_inventor_name_first,string,7149690,0,0.0,,
revelio_patents_inventor_matches,raw_inventor_name_last,string,7149690,0,0.0,,
revelio_patents_inventor_matches,pv_inventor_id,string,7149690,0,0.0,,
revelio_patents_inventor_matches,pv_disambig_inventor_individual_name_first,string,7149690,0,0.0,,
revelio_patents_inventor_matches,pv_disambig_inventor_individual_name_last,string,7149690,0,0.0,,
revelio_patents_inventor_matches,inventor_fullname_cleaned,string,7149690,0,0.0,,
revelio_patents_inventor_matches,inventor_firstname_cleaned,string,7149690,0,0.0,,
revelio_patents_inventor_matches,inventor_lastname_cleaned,string,7149690,0,0.0,,
revelio_patents_inventor_matches,user_id,int64,7149690,0,0.0,451326498.2323678,410414783.9465019
revelio_patents_inventor_matches,user_fullname,string,7149690,590,8.252106035366569e-05,,
revelio_patents_inventor_matches,user_firstname,string,7149690,925,0.00012937623869006907,,
revelio_patents_inventor_matches,user_lastname,string,7149690,608,8.503865202547243e-05,,
revelio_patents_inventor_matches,user_fullname_cleaned,string,7149690,0,0.0,,
revelio_patents_inventor_matches,user_firstname_cleaned,string,7149690,952,0.0001331526261977792,,
revelio_patents_inventor_matches,user_lastname_cleaned,string,7149690,709,9.916513862838808e-05,,
revelio_patents_inventor_matches,user_linkedin_patent_count,int32,7149690,0,0.0,3.337521626811792,13.28476026317743
revelio_patents_inventor_matches,user_profile_linkedin_url,string,7149690,590,8.252106035366569e-05,,
revelio_patents_inventor_matches,similarity_score_fullname,float64,7149690,0,0.0,0.9823773624202116,0.025787742469225522
revelio_patents_inventor_matches,similarity_score_firstname,float64,7149690,952,0.0001331526261977792,0.9751055224598393,0.03641021441958937
revelio_patents_inventor_matches,similarity_score_lastname,float64,7149690,709,9.916513862838808e-05,0.9984550434462699,0.019490413942931974
revelio_patents_inventor_matches,linkedin_patent_match,int32,7149690,0,0.0,0.05120795447075328,0.22042165652488163
revelio_patents_inventor_matches,rcid_match,int32,7149690,0,0.0,0.81219479445962,0.3905565665133895
revelio_patents_inventor_matches,rcid_date_match,int32,7149690,0,0.0,0.5524127619519168,0.4972453488640205
revelio_patents_inventor_matches,ult_par_rcid_match,int32,7149690,0,0.0,0.9866924300214415,0.11458830828812654
revelio_patents_inventor_matches,ult_par_rcid_date_match,int32,7149690,0,0.0,0.6519134396036751,0.47636366213907066
